,symbol,metric,value
3473,HII,Open,181.15
3474,HII,Bid,177.00 x 800
3475,HII,Ask,182.42 x 1100
3476,HII,Day's Range,181.00 - 183.01
3477,HII,52 Week Range,156.36 - 224.13
3478,HII,Volume,"205,190"
3479,HII,Avg. Volume,"281,093"
3480,HII,Market Cap,7.3B
3481,HII,Beta (5Y Monthly),1.01
3482,HII,PE Ratio (TTM),10.93
3483,HII,EPS (TTM),16.67
3484,HII,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
3485,HII,Forward Dividend & Yield,4.72 (2.59%)
3486,HII,Ex-Dividend Date,"Nov 24, 2021"
3487,HII,1y Target Est,220.27
3488,IDXX,Previous Close,640.03
3489,IDXX,Open,641.58
3490,IDXX,Bid,638.51 x 800
3491,IDXX,Ask,656.87 x 1200
3492,IDXX,Day's Range,640.83 - 649.76
3493,IDXX,52 Week Range,455.23 - 706.95
3494,IDXX,Volume,"266,152"
3495,IDXX,Avg. Volume,"363,165"
3496,IDXX,Market Cap,54.694B
3497,IDXX,Beta (5Y Monthly),0.94
3498,IDXX,PE Ratio (TTM),73.99
3499,IDXX,EPS (TTM),8.72
3500,IDXX,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
3501,IDXX,Forward Dividend & Yield,N/A (N/A)
3502,IDXX,Ex-Dividend Date,N/A
3503,IDXX,1y Target Est,706.17
3504,ITW,Previous Close,237.74
3505,ITW,Open,238.24
3506,ITW,Bid,240.00 x 1000
3507,ITW,Ask,243.70 x 900
3508,ITW,Day's Range,237.91 - 241.46
3509,ITW,52 Week Range,192.89 - 246.62
3510,ITW,Volume,"614,812"
3511,ITW,Avg. Volume,"965,274"
3512,ITW,Market Cap,75.488B
3513,ITW,Beta (5Y Monthly),1.11
3514,ITW,PE Ratio (TTM),27.97
3515,ITW,EPS (TTM),8.60
3516,ITW,Earnings Date,"Feb 03, 2022 - Feb 07, 2022"
3517,ITW,Forward Dividend & Yield,4.88 (2.03%)
3518,ITW,Ex-Dividend Date,"Dec 30, 2021"
3519,ITW,1y Target Est,238.89
3520,ILMN,Previous Close,378.80
3521,ILMN,Open,380.50
3522,ILMN,Bid,370.00 x 800
3523,ILMN,Ask,385.00 x 1000
3524,ILMN,Day's Range,379.09 - 385.30
3525,ILMN,52 Week Range,341.03 - 555.77
3526,ILMN,Volume,"370,103"
3527,ILMN,Avg. Volume,"937,439"
3528,ILMN,Market Cap,59.752B
3529,ILMN,Beta (5Y Monthly),0.89
3530,ILMN,PE Ratio (TTM),62.58
3531,ILMN,EPS (TTM),6.11
3532,ILMN,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
3533,ILMN,Forward Dividend & Yield,N/A (N/A)
3534,ILMN,Ex-Dividend Date,N/A
3535,ILMN,1y Target Est,437.13
3536,INCY,Previous Close,73.37
3537,INCY,Open,73.52
3538,INCY,Bid,73.51 x 1100
3539,INCY,Ask,75.21 x 800
3540,INCY,Day's Range,72.63 - 74.02
3541,INCY,52 Week Range,61.91 - 101.47
3542,INCY,Volume,"1,050,583"
3543,INCY,Avg. Volume,"2,203,979"
3544,INCY,Market Cap,16.229B
3545,INCY,Beta (5Y Monthly),0.72
3546,INCY,PE Ratio (TTM),30.46
3547,INCY,EPS (TTM),2.41
3548,INCY,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
3549,INCY,Forward Dividend & Yield,N/A (N/A)
3550,INCY,Ex-Dividend Date,N/A
3551,INCY,1y Target Est,93.13
3552,INTC,Previous Close,50.97
3553,INTC,Open,51.08
3554,INTC,Bid,51.20 x 900
3555,INTC,Ask,51.29 x 1300
3556,INTC,Day's Range,51.05 - 51.73
3557,INTC,52 Week Range,46.49 - 68.49
3558,INTC,Volume,"25,198,249"
3559,INTC,Avg. Volume,"31,653,144"
3560,INTC,Market Cap,208.678B
3561,INTC,Beta (5Y Monthly),0.52
3562,INTC,PE Ratio (TTM),9.95
3563,INTC,EPS (TTM),5.16
3564,INTC,Earnings Date,"Jan 19, 2022 - Jan 24, 2022"
3565,INTC,Forward Dividend & Yield,1.39 (2.71%)
3566,INTC,Ex-Dividend Date,"Nov 04, 2021"
3567,INTC,1y Target Est,55.02
3568,ICE,Previous Close,135.24
3569,ICE,Open,135.60
3570,ICE,Bid,129.19 x 800
3571,ICE,Ask,137.15 x 900
3572,ICE,Day's Range,135.36 - 136.62
3573,ICE,52 Week Range,108.95 - 139.79
3574,ICE,Volume,"1,212,285"
3575,ICE,Avg. Volume,"2,300,185"
3576,ICE,Market Cap,76.533B
3577,ICE,Beta (5Y Monthly),0.82
3578,ICE,PE Ratio (TTM),25.06
3579,ICE,EPS (TTM),5.42
3580,ICE,Earnings Date,"Feb 03, 2022"
3581,ICE,Forward Dividend & Yield,1.32 (0.97%)
3582,ICE,Ex-Dividend Date,"Dec 16, 2021"
3583,ICE,1y Target Est,156.50
3584,IBM,Previous Close,129.75
3585,IBM,Open,130.00
3586,IBM,Bid,130.50 x 900
3587,IBM,Ask,130.60 x 800
3588,IBM,Day's Range,129.52 - 130.96
3589,IBM,52 Week Range,112.20 - 146.12
3590,IBM,Volume,"3,649,044"
3591,IBM,Avg. Volume,"6,099,985"
3592,IBM,Market Cap,117.086B
3593,IBM,Beta (5Y Monthly),1.10
3594,IBM,PE Ratio (TTM),24.73
3595,IBM,EPS (TTM),5.28
3596,IBM,Earnings Date,"Jan 24, 2022"
3597,IBM,Forward Dividend & Yield,6.56 (5.02%)
3598,IBM,Ex-Dividend Date,"Nov 09, 2021"
3599,IBM,1y Target Est,145.17
3600,IP,Previous Close,45.27
3601,IP,Open,45.57
3602,IP,Bid,45.90 x 900
3603,IP,Ask,45.91 x 900
3604,IP,Day's Range,45.51 - 46.03
3605,IP,52 Week Range,43.87 - 61.81
3606,IP,Volume,"2,372,672"
3607,IP,Avg. Volume,"3,425,133"
3608,IP,Market Cap,17.752B
3609,IP,Beta (5Y Monthly),0.96
3610,IP,PE Ratio (TTM),10.09
3611,IP,EPS (TTM),4.54
3612,IP,Earnings Date,"Jan 27, 2022"
3613,IP,Forward Dividend & Yield,1.85 (4.04%)
3614,IP,Ex-Dividend Date,"Nov 12, 2021"
3615,IP,1y Target Est,55.85
3616,INTU,Previous Close,620.27
3617,INTU,Open,609.10
3618,INTU,Bid,606.83 x 900
3619,INTU,Ask,629.04 x 1300
3620,INTU,Day's Range,599.27 - 614.33
3621,INTU,52 Week Range,357.69 - 716.86
3622,INTU,Volume,"2,236,746"
3623,INTU,Avg. Volume,"1,525,093"
3624,INTU,Market Cap,171.211B
3625,INTU,Beta (5Y Monthly),1.05
3626,INTU,PE Ratio (TTM),79.76
3627,INTU,EPS (TTM),7.58
3628,INTU,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
3629,INTU,Forward Dividend & Yield,2.72 (0.44%)
3630,INTU,Ex-Dividend Date,"Jan 07, 2022"
3631,INTU,1y Target Est,742.37
3632,ISRG,Previous Close,362.21
3633,ISRG,Open,360.65
3634,ISRG,Bid,363.08 x 900
3635,ISRG,Ask,365.00 x 2200
3636,ISRG,Day's Range,357.33 - 365.67
3637,ISRG,52 Week Range,227.47 - 369.69
3638,ISRG,Volume,"1,022,667"
3639,ISRG,Avg. Volume,"1,638,390"
3640,ISRG,Market Cap,130.013B
3641,ISRG,Beta (5Y Monthly),1.09
3642,ISRG,PE Ratio (TTM),78.47
3643,ISRG,EPS (TTM),4.64
3644,ISRG,Earnings Date,"Jan 20, 2022"
3645,ISRG,Forward Dividend & Yield,N/A (N/A)
3646,ISRG,Ex-Dividend Date,N/A
3647,ISRG,1y Target Est,358.86
3648,IVZ,Previous Close,22.80
3649,IVZ,Open,23.03
3650,IVZ,Bid,22.85 x 1000
3651,IVZ,Ask,23.50 x 1200
3652,IVZ,Day's Range,22.93 - 23.44
3653,IVZ,52 Week Range,16.82 - 29.71
3654,IVZ,Volume,"2,849,246"
3655,IVZ,Avg. Volume,"3,760,392"
3656,IVZ,Market Cap,10.765B
3657,IVZ,Beta (5Y Monthly),1.23
3658,IVZ,PE Ratio (TTM),9.23
3659,IVZ,EPS (TTM),2.53
3660,IVZ,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
3661,IVZ,Forward Dividend & Yield,0.68 (2.91%)
3662,IVZ,Ex-Dividend Date,"Nov 10, 2021"
3663,IVZ,1y Target Est,N/A
3664,IQV,Previous Close,276.76
3665,IQV,Open,277.64
3666,IQV,Bid,278.90 x 1000
3667,IQV,Ask,296.00 x 800
3668,IQV,Day's Range,276.88 - 279.68
3669,IQV,52 Week Range,170.00 - 279.68
3670,IQV,Volume,"500,438"
3671,IQV,Avg. Volume,"819,838"
3672,IQV,Market Cap,53.111B
3673,IQV,Beta (5Y Monthly),1.40
3674,IQV,PE Ratio (TTM),70.76
3675,IQV,EPS (TTM),3.93
3676,IQV,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
3677,IQV,Forward Dividend & Yield,N/A (N/A)
3678,IQV,Ex-Dividend Date,N/A
3679,IQV,1y Target Est,300.78
3680,IRM,Previous Close,51.25
3681,IRM,Open,50.46
3682,IRM,Bid,49.89 x 800
3683,IRM,Ask,51.00 x 1800
3684,IRM,Day's Range,49.62 - 51.06
3685,IRM,52 Week Range,27.72 - 51.78
3686,IRM,Volume,"1,925,079"
3687,IRM,Avg. Volume,"1,620,098"
3688,IRM,Market Cap,14.753B
3689,IRM,Beta (5Y Monthly),0.83
3690,IRM,PE Ratio (TTM),23.19
3691,IRM,EPS (TTM),2.20
3692,IRM,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
3693,IRM,Forward Dividend & Yield,2.47 (4.83%)
3694,IRM,Ex-Dividend Date,"Dec 14, 2021"
3695,IRM,1y Target Est,44.00
3696,J,Previous Close,148.45
3697,J,Open,145.04
3698,J,Bid,146.27 x 1200
3699,J,Ask,145.73 x 800
3700,J,Day's Range,144.08 - 146.74
3701,J,52 Week Range,100.05 - 149.55
3702,J,Volume,"508,561"
3703,J,Avg. Volume,"536,846"
3704,J,Market Cap,18.792B
3705,J,Beta (5Y Monthly),0.85
3706,J,PE Ratio (TTM),45.60
3707,J,EPS (TTM),3.20
3708,J,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
3709,J,Forward Dividend & Yield,0.84 (0.58%)
3710,J,Ex-Dividend Date,"Oct 14, 2021"
3711,J,1y Target Est,160.92
3712,JBHT,Previous Close,198.57
3713,JBHT,Open,199.73
3714,JBHT,Bid,0.00 x 800
3715,JBHT,Ask,0.00 x 800
3716,JBHT,Day's Range,198.20 - 200.97
3717,JBHT,52 Week Range,133.36 - 202.71
3718,JBHT,Volume,"431,707"
3719,JBHT,Avg. Volume,"518,198"
3720,JBHT,Market Cap,20.852B
3721,JBHT,Beta (5Y Monthly),1.07
3722,JBHT,PE Ratio (TTM),31.52
3723,JBHT,EPS (TTM),6.30
3724,JBHT,Earnings Date,"Jan 18, 2022"
3725,JBHT,Forward Dividend & Yield,1.20 (0.60%)
3726,JBHT,Ex-Dividend Date,"Nov 04, 2021"
3727,JBHT,1y Target Est,194.18
3728,SJM,Previous Close,136.41
3729,SJM,Open,134.73
3730,SJM,Bid,134.49 x 800
3731,SJM,Ask,134.74 x 900
3732,SJM,Day's Range,134.05 - 135.59
3733,SJM,52 Week Range,110.53 - 140.65
3734,SJM,Volume,"856,324"
3735,SJM,Avg. Volume,"756,561"
3736,SJM,Market Cap,14.633B
3737,SJM,Beta (5Y Monthly),0.32
3738,SJM,PE Ratio (TTM),19.27
3739,SJM,EPS (TTM),7.01
3740,SJM,Earnings Date,"Mar 01, 2022"
3741,SJM,Forward Dividend & Yield,3.96 (2.90%)
3742,SJM,Ex-Dividend Date,"Nov 10, 2021"
3743,SJM,1y Target Est,132.00
3744,JNJ,Previous Close,167.93
3745,JNJ,Open,167.88
3746,JNJ,Bid,168.20 x 800
3747,JNJ,Ask,168.50 x 800
3748,JNJ,Day's Range,167.36 - 168.95
3749,JNJ,52 Week Range,151.47 - 179.92
3750,JNJ,Volume,"3,501,450"
3751,JNJ,Avg. Volume,"7,536,950"
3752,JNJ,Market Cap,442.935B
3753,JNJ,Beta (5Y Monthly),0.72
3754,JNJ,PE Ratio (TTM),25.15
3755,JNJ,EPS (TTM),6.69
3756,JNJ,Earnings Date,"Jan 25, 2022"
3757,JNJ,Forward Dividend & Yield,4.24 (2.52%)
3758,JNJ,Ex-Dividend Date,"Nov 22, 2021"
3759,JNJ,1y Target Est,186.44
3760,JCI,Previous Close,77.67
3761,JCI,Open,78.05
3762,JCI,Bid,77.79 x 900
3763,JCI,Ask,78.55 x 800
3764,JCI,Day's Range,78.01 - 78.78
3765,JCI,52 Week Range,45.55 - 81.15
3766,JCI,Volume,"1,772,350"
3767,JCI,Avg. Volume,"3,415,253"
3768,JCI,Market Cap,55.015B
3769,JCI,Beta (5Y Monthly),1.10
3770,JCI,PE Ratio (TTM),34.38
3771,JCI,EPS (TTM),2.27
3772,JCI,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
3773,JCI,Forward Dividend & Yield,1.36 (1.74%)
3774,JCI,Ex-Dividend Date,"Dec 17, 2021"
3775,JCI,1y Target Est,N/A
3776,JPM,Previous Close,156.70
3777,JPM,Open,157.61
3778,JPM,Bid,157.11 x 1200
3779,JPM,Ask,157.30 x 900
3780,JPM,Day's Range,157.21 - 159.12
3781,JPM,52 Week Range,123.77 - 172.96
3782,JPM,Volume,"8,055,154"
3783,JPM,Avg. Volume,"11,158,455"
3784,JPM,Market Cap,464.746B
3785,JPM,Beta (5Y Monthly),1.13
3786,JPM,PE Ratio (TTM),9.95
3787,JPM,EPS (TTM),15.81
3788,JPM,Earnings Date,"Jan 14, 2022"
3789,JPM,Forward Dividend & Yield,4.00 (2.54%)
3790,JPM,Ex-Dividend Date,"Jan 05, 2022"
3791,JPM,1y Target Est,180.07
3792,JNPR,Previous Close,33.84
3793,JNPR,Open,33.89
3794,JNPR,Bid,34.05 x 1300
3795,JNPR,Ask,34.13 x 1000
3796,JNPR,Day's Range,33.86 - 34.51
3797,JNPR,52 Week Range,22.09 - 34.51
3798,JNPR,Volume,"2,111,440"
3799,JNPR,Avg. Volume,"3,325,703"
3800,JNPR,Market Cap,11.098B
3801,JNPR,Beta (5Y Monthly),0.87
3802,JNPR,PE Ratio (TTM),75.84
3803,JNPR,EPS (TTM),0.45
3804,JNPR,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
3805,JNPR,Forward Dividend & Yield,0.80 (2.34%)
3806,JNPR,Ex-Dividend Date,"Nov 30, 2021"
3807,JNPR,1y Target Est,29.94
3808,K,Previous Close,62.78
3809,K,Open,62.99
3810,K,Bid,62.73 x 1200
3811,K,Ask,63.19 x 1100
3812,K,Day's Range,62.83 - 63.37
3813,K,52 Week Range,56.61 - 68.60
3814,K,Volume,"1,213,823"
3815,K,Avg. Volume,"2,057,400"
3816,K,Market Cap,21.446B
3817,K,Beta (5Y Monthly),0.59
3818,K,PE Ratio (TTM),17.14
3819,K,EPS (TTM),3.67
3820,K,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
3821,K,Forward Dividend & Yield,2.32 (3.69%)
3822,K,Ex-Dividend Date,"Nov 30, 2021"
3823,K,1y Target Est,67.65
3824,KEY,Previous Close,22.66
3825,KEY,Open,22.83
3826,KEY,Bid,22.60 x 1400
3827,KEY,Ask,29.00 x 1000
3828,KEY,Day's Range,22.66 - 23.03
3829,KEY,52 Week Range,15.95 - 24.57
3830,KEY,Volume,"4,851,327"
3831,KEY,Avg. Volume,"7,586,103"
3832,KEY,Market Cap,21.172B
3833,KEY,Beta (5Y Monthly),1.47
3834,KEY,PE Ratio (TTM),8.86
3835,KEY,EPS (TTM),2.57
3836,KEY,Earnings Date,"Jan 20, 2022"
3837,KEY,Forward Dividend & Yield,0.78 (3.43%)
3838,KEY,Ex-Dividend Date,"Nov 29, 2021"
3839,KEY,1y Target Est,25.57
3840,KEYS,Previous Close,200.61
3841,KEYS,Open,200.71
3842,KEYS,Bid,193.77 x 1000
3843,KEYS,Ask,203.50 x 800
3844,KEYS,Day's Range,200.57 - 203.09
3845,KEYS,52 Week Range,129.09 - 205.48
3846,KEYS,Volume,"636,770"
3847,KEYS,Avg. Volume,"972,842"
3848,KEYS,Market Cap,36.87B
3849,KEYS,Beta (5Y Monthly),0.96
3850,KEYS,PE Ratio (TTM),42.14
3851,KEYS,EPS (TTM),4.78
3852,KEYS,Earnings Date,"Feb 16, 2022 - Feb 21, 2022"
3853,KEYS,Forward Dividend & Yield,N/A (N/A)
3854,KEYS,Ex-Dividend Date,N/A
3855,KEYS,1y Target Est,206.57
3856,KMB,Previous Close,139.22
3857,KMB,Open,139.22
3858,KMB,Bid,138.66 x 900
3859,KMB,Ask,140.80 x 1200
3860,KMB,Day's Range,138.34 - 139.63
3861,KMB,52 Week Range,125.27 - 143.37
3862,KMB,Volume,"1,115,550"
3863,KMB,Avg. Volume,"1,664,022"
3864,KMB,Market Cap,46.767B
3865,KMB,Beta (5Y Monthly),0.50
3866,KMB,PE Ratio (TTM),23.61
3867,KMB,EPS (TTM),5.88
3868,KMB,Earnings Date,"Jan 26, 2022"
3869,KMB,Forward Dividend & Yield,4.56 (3.28%)
3870,KMB,Ex-Dividend Date,"Dec 09, 2021"
3871,KMB,1y Target Est,132.02
3872,KIM,Previous Close,23.55
3873,KIM,Open,23.67
3874,KIM,Bid,23.62 x 800
3875,KIM,Ask,23.88 x 800
3876,KIM,Day's Range,23.50 - 23.81
3877,KIM,52 Week Range,14.28 - 24.95
3878,KIM,Volume,"2,289,409"
3879,KIM,Avg. Volume,"4,012,415"
3880,KIM,Market Cap,14.603B
3881,KIM,Beta (5Y Monthly),1.51
3882,KIM,PE Ratio (TTM),11.73
3883,KIM,EPS (TTM),2.02
3884,KIM,Earnings Date,"Feb 10, 2022"
3885,KIM,Forward Dividend & Yield,0.68 (2.87%)
3886,KIM,Ex-Dividend Date,"Dec 08, 2021"
3887,KIM,1y Target Est,26.05
3888,KMI,Previous Close,15.57
3889,KMI,Open,15.67
3890,KMI,Bid,15.55 x 3000
3891,KMI,Ask,15.75 x 21500
3892,KMI,Day's Range,15.58 - 15.76
3893,KMI,52 Week Range,13.47 - 19.29
3894,KMI,Volume,"8,153,557"
3895,KMI,Avg. Volume,"15,824,869"
3896,KMI,Market Cap,35.463B
3897,KMI,Beta (5Y Monthly),1.02
3898,KMI,PE Ratio (TTM),20.36
3899,KMI,EPS (TTM),0.77
3900,KMI,Earnings Date,"Jan 18, 2022 - Jan 24, 2022"
3901,KMI,Forward Dividend & Yield,1.08 (6.91%)
3902,KMI,Ex-Dividend Date,"Oct 29, 2021"
3903,KMI,1y Target Est,18.89
3904,KLAC,Previous Close,391.55
3905,KLAC,Open,385.88
3906,KLAC,Bid,0.00 x 1100
3907,KLAC,Ask,0.00 x 1000
3908,KLAC,Day's Range,381.63 - 393.13
3909,KLAC,52 Week Range,252.02 - 428.22
3910,KLAC,Volume,"1,850,203"
3911,KLAC,Avg. Volume,"1,169,282"
3912,KLAC,Market Cap,58.45B
3913,KLAC,Beta (5Y Monthly),1.21
3914,KLAC,PE Ratio (TTM),21.88
3915,KLAC,EPS (TTM),17.62
3916,KLAC,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
3917,KLAC,Forward Dividend & Yield,4.20 (1.07%)
3918,KLAC,Ex-Dividend Date,"Nov 12, 2021"
3919,KLAC,1y Target Est,431.90
3920,KHC,Previous Close,35.11
3921,KHC,Open,35.26
3922,KHC,Bid,35.19 x 1200
3923,KHC,Ask,35.30 x 800
3924,KHC,Day's Range,35.20 - 35.46
3925,KHC,52 Week Range,31.60 - 44.95
3926,KHC,Volume,"3,726,426"
3927,KHC,Avg. Volume,"7,010,622"
3928,KHC,Market Cap,43.147B
3929,KHC,Beta (5Y Monthly),1.08
3930,KHC,PE Ratio (TTM),18.97
3931,KHC,EPS (TTM),1.86
3932,KHC,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
3933,KHC,Forward Dividend & Yield,1.60 (4.54%)
3934,KHC,Ex-Dividend Date,"Nov 24, 2021"
3935,KHC,1y Target Est,40.07
3936,KR,Previous Close,43.52
3937,KR,Open,43.49
3938,KR,Bid,43.20 x 1000
3939,KR,Ask,43.30 x 1200
3940,KR,Day's Range,43.18 - 43.77
3941,KR,52 Week Range,31.26 - 47.99
3942,KR,Volume,"4,069,408"
3943,KR,Avg. Volume,"7,343,614"
3944,KR,Market Cap,31.77B
3945,KR,Beta (5Y Monthly),0.42
3946,KR,PE Ratio (TTM),32.61
3947,KR,EPS (TTM),1.33
3948,KR,Earnings Date,"Mar 02, 2022 - Mar 07, 2022"
3949,KR,Forward Dividend & Yield,0.84 (1.94%)
3950,KR,Ex-Dividend Date,"Nov 12, 2021"
3951,KR,1y Target Est,45.11
3952,LHX,Previous Close,206.75
3953,LHX,Open,207.48
3954,LHX,Bid,200.90 x 900
3955,LHX,Ask,210.00 x 3200
3956,LHX,Day's Range,206.85 - 209.62
3957,LHX,52 Week Range,168.70 - 246.08
3958,LHX,Volume,"1,001,344"
3959,LHX,Avg. Volume,"1,184,806"
3960,LHX,Market Cap,40.866B
3961,LHX,Beta (5Y Monthly),0.87
3962,LHX,PE Ratio (TTM),27.72
3963,LHX,EPS (TTM),7.51
3964,LHX,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
3965,LHX,Forward Dividend & Yield,4.08 (1.96%)
3966,LHX,Ex-Dividend Date,"Nov 18, 2021"
3967,LHX,1y Target Est,N/A
3968,LH,Previous Close,304.22
3969,LH,Open,306.23
3970,LH,Bid,289.00 x 800
3971,LH,Ask,303.31 x 800
3972,LH,Day's Range,298.50 - 306.65
3973,LH,52 Week Range,200.46 - 313.04
3974,LH,Volume,"1,201,745"
3975,LH,Avg. Volume,"675,520"
3976,LH,Market Cap,28.893B
3977,LH,Beta (5Y Monthly),1.01
3978,LH,PE Ratio (TTM),10.71
3979,LH,EPS (TTM),28.19
3980,LH,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
3981,LH,Forward Dividend & Yield,N/A (N/A)
3982,LH,Ex-Dividend Date,"Mar 29, 1994"
3983,LH,1y Target Est,340.57
3984,LRCX,Previous Close,691.22
3985,LRCX,Open,694.48
3986,LRCX,Bid,691.13 x 1000
3987,LRCX,Ask,699.94 x 1000
3988,LRCX,Day's Range,693.38 - 706.94
3989,LRCX,52 Week Range,465.50 - 719.91
3990,LRCX,Volume,"867,431"
3991,LRCX,Avg. Volume,"1,396,884"
3992,LRCX,Market Cap,98.379B
3993,LRCX,Beta (5Y Monthly),1.17
3994,LRCX,PE Ratio (TTM),23.61
3995,LRCX,EPS (TTM),29.59
3996,LRCX,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
3997,LRCX,Forward Dividend & Yield,6.00 (0.86%)
3998,LRCX,Ex-Dividend Date,"Dec 14, 2021"
3999,LRCX,1y Target Est,722.92
4000,LW,Previous Close,58.04
4001,LW,Open,57.49
4002,LW,Bid,58.82 x 1300
4003,LW,Ask,58.83 x 1100
4004,LW,Day's Range,57.30 - 59.19
4005,LW,52 Week Range,50.22 - 86.41
4006,LW,Volume,"354,880"
4007,LW,Avg. Volume,"1,872,466"
4008,LW,Market Cap,8.591B
4009,LW,Beta (5Y Monthly),0.71
4010,LW,PE Ratio (TTM),33.61
4011,LW,EPS (TTM),1.75
4012,LW,Earnings Date,"Jan 06, 2022"
4013,LW,Forward Dividend & Yield,0.94 (1.64%)
4014,LW,Ex-Dividend Date,"Nov 04, 2021"
4015,LW,1y Target Est,73.14
4016,LVS,Previous Close,37.03
4017,LVS,Open,39.02
4018,LVS,Bid,38.60 x 900
4019,LVS,Ask,38.49 x 1300
4020,LVS,Day's Range,37.53 - 39.38
4021,LVS,52 Week Range,33.75 - 66.77
4022,LVS,Volume,"12,512,310"
4023,LVS,Avg. Volume,"8,404,512"
4024,LVS,Market Cap,29.482B
4025,LVS,Beta (5Y Monthly),1.49
4026,LVS,PE Ratio (TTM),N/A
4027,LVS,EPS (TTM),-1.50
4028,LVS,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
4029,LVS,Forward Dividend & Yield,N/A (N/A)
4030,LVS,Ex-Dividend Date,"Mar 17, 2020"
4031,LVS,1y Target Est,49.13
4032,LDOS,Previous Close,86.41
4033,LDOS,Open,86.46
4034,LDOS,Bid,74.28 x 1000
4035,LDOS,Ask,88.00 x 1000
4036,LDOS,Day's Range,86.16 - 87.86
4037,LDOS,52 Week Range,82.75 - 113.75
4038,LDOS,Volume,"708,709"
4039,LDOS,Avg. Volume,"735,855"
4040,LDOS,Market Cap,12.259B
4041,LDOS,Beta (5Y Monthly),0.85
4042,LDOS,PE Ratio (TTM),16.12
4043,LDOS,EPS (TTM),5.42
4044,LDOS,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
4045,LDOS,Forward Dividend & Yield,1.44 (1.65%)
4046,LDOS,Ex-Dividend Date,"Dec 14, 2021"
4047,LDOS,1y Target Est,115.50
4048,LEN,Previous Close,112.35
4049,LEN,Open,112.71
4050,LEN,Bid,109.00 x 900
4051,LEN,Ask,112.48 x 800
4052,LEN,Day's Range,111.27 - 112.98
4053,LEN,52 Week Range,71.52 - 117.54
4054,LEN,Volume,"1,446,976"
4055,LEN,Avg. Volume,"2,350,244"
4056,LEN,Market Cap,33.917B
4057,LEN,Beta (5Y Monthly),1.50
4058,LEN,PE Ratio (TTM),7.85
4059,LEN,EPS (TTM),14.27
4060,LEN,Earnings Date,"Mar 14, 2022 - Mar 18, 2022"
4061,LEN,Forward Dividend & Yield,1.00 (0.89%)
4062,LEN,Ex-Dividend Date,"Oct 13, 2021"
4063,LEN,1y Target Est,132.57
4064,LLY,Previous Close,266.50
4065,LLY,Open,269.05
4066,LLY,Bid,275.00 x 1100
4067,LLY,Ask,276.00 x 800
4068,LLY,Day's Range,266.68 - 275.27
4069,LLY,52 Week Range,161.78 - 283.90
4070,LLY,Volume,"2,632,221"
4071,LLY,Avg. Volume,"3,127,074"
4072,LLY,Market Cap,261.245B
4073,LLY,Beta (5Y Monthly),0.35
4074,LLY,PE Ratio (TTM),41.69
4075,LLY,EPS (TTM),6.55
4076,LLY,Earnings Date,"Feb 03, 2022"
4077,LLY,Forward Dividend & Yield,3.92 (1.44%)
4078,LLY,Ex-Dividend Date,"Feb 14, 2022"
4079,LLY,1y Target Est,N/A
4080,LNC,Previous Close,65.76
4081,LNC,Open,64.69
4082,LNC,Bid,62.52 x 900
4083,LNC,Ask,62.88 x 900
4084,LNC,Day's Range,61.72 - 64.69
4085,LNC,52 Week Range,44.59 - 77.57
4086,LNC,Volume,"1,412,097"
4087,LNC,Avg. Volume,"1,460,729"
4088,LNC,Market Cap,11.359B
4089,LNC,Beta (5Y Monthly),2.11
4090,LNC,PE Ratio (TTM),9.02
4091,LNC,EPS (TTM),6.97
4092,LNC,Earnings Date,"Feb 02, 2022"
4093,LNC,Forward Dividend & Yield,1.80 (2.74%)
4094,LNC,Ex-Dividend Date,"Jan 07, 2022"
4095,LNC,1y Target Est,76.83
4096,LIN,Previous Close,335.35
4097,LIN,Open,335.35
4098,LIN,Bid,308.24 x 1200
4099,LIN,Ask,344.22 x 1100
4100,LIN,Day's Range,335.22 - 340.64
4101,LIN,52 Week Range,240.80 - 343.31
4102,LIN,Volume,"1,151,893"
4103,LIN,Avg. Volume,"1,483,125"
4104,LIN,Market Cap,173.843B
4105,LIN,Beta (5Y Monthly),0.83
4106,LIN,PE Ratio (TTM),49.91
4107,LIN,EPS (TTM),6.80
4108,LIN,Earnings Date,"Oct 28, 2021"
4109,LIN,Forward Dividend & Yield,4.24 (1.25%)
4110,LIN,Ex-Dividend Date,"Dec 02, 2021"
4111,LIN,1y Target Est,303.58
